"tweet_id"	"author"	"entity_id"	"tweet_url"	"language"	"timestamp"	"urls"	"extended_urls"	"md5_extended_urls"	"is_near_duplicate_of"
"220520345218711553"	"LuuisRuuiz"	"RL2013D01E001"	"https://twitter.com/LuuisRuuiz/status/220520345218711553"	"ES"	"1341411122"	""	""	""	"-1"
"241301682477232128"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/241301682477232128"	"EN"	"1346365779"	"pic.twitter.com/U8HBFWPZ"	"pic.twitter.com/U8HBFWPZ"	"437317fbd298c9b284426c524a2d5f0e"	"-1"
"253567721424445441"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/253567721424445441"	"EN"	"1349290230"	""	""	""	"-1"
"257181645101211649"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/257181645101211649"	"EN"	"1350151857"	""	""	""	"-1"
"261522710146977792"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/261522710146977792"	"EN"	"1351186847"	"pic.twitter.com/zgdA6QyK"	"pic.twitter.com/zgdA6QyK"	"c8bf4bba86f0d7f7c1740e2fcc93e565"	"-1"
"261995784894029824"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/261995784894029824"	"EN"	"1351299637"	""	""	""	"-1"
"264439486631514113"	"RiveraSelva"	"RL2013D01E001"	"https://twitter.com/RiveraSelva/status/264439486631514113"	"ES"	"1351882261"	""	""	""	"-1"
"269467393900830721"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/269467393900830721"	"EN"	"1353081008"	"pic.twitter.com/B6BzsGE6"	"pic.twitter.com/B6BzsGE6"	"5cb1893af97e8ff8e56fc85a56096b5f"	"-1"
"272380339362623488"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/272380339362623488"	"EN"	"1353775508"	""	""	""	"-1"
"272402989015244801"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/272402989015244801"	"EN"	"1353780908"	""	""	""	"-1"
"272873624023732224"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/272873624023732224"	"EN"	"1353893116"	""	""	""	"-1"
"273164484615495680"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/273164484615495680"	"EN"	"1353962462"	""	""	""	"-1"
"273270295408828416"	"badbakhtbrian"	"RL2013D01E001"	"https://twitter.com/badbakhtbrian/status/273270295408828416"	"EN"	"1353987690"	""	""	""	"-1"
"274631663047294976"	"ElChisteLatino"	"RL2013D01E001"	"https://twitter.com/ElChisteLatino/status/274631663047294976"	"ES"	"1354312265"	""	""	""	"-1"
"275075195251875840"	"BMW_LifeMorals"	"RL2013D01E001"	"https://twitter.com/BMW_LifeMorals/status/275075195251875840"	"EN"	"1354418011"	""	""	""	"-1"
